Date;Price;Open;High;Low;Vol.;Change %
4/8/2018;1,347.90;1,338.00;1,369.40;1,330.10;1.67M;0.88%
04/15/2018;1,338.30;1,349.80;1,359.00;1,337.00;1.48M;-0.71%
04/22/2018;1,323.40;1,336.20;1,337.60;1,315.80;1.38M;-1.11%
04/29/2018;1,314.70;1,324.00;1,325.90;1,302.30;1.56M;-0.66%
5/6/2018;1,320.70;1,316.30;1,326.30;1,304.20;1.66M;0.46%
05/13/2018;1,291.30;1,318.30;1,322.40;1,284.00;1.62M;-2.23%
05/20/2018;1,303.70;1,290.30;1,307.20;1,281.20;1.75M;0.96%
05/27/2018;1,299.30;1,297.20;1,311.50;1,291.40;1.36M;-0.34%
6/3/2018;1,302.70;1,296.70;1,307.80;1,293.50;1.22M;0.26%
6/10/2018;1,278.50;1,303.50;1,313.00;1,277.90;1.58M;-1.86%
06/17/2018;1,270.70;1,281.10;1,286.80;1,262.40;1.18M;-0.61%
06/24/2018;1,254.50;1,272.20;1,274.40;1,246.90;1.18M;-1.27%
7/1/2018;1,255.80;1,253.40;1,261.00;1,238.80;1.15M;0.10%
7/8/2018;1,241.20;1,255.70;1,266.90;1,236.20;1.29M;-1.16%
07/15/2018;1,231.10;1,241.00;1,245.80;1,210.70;1.57M;-0.81%
07/22/2018;1,223.00;1,231.70;1,235.30;1,216.70;1.44M;-0.66%
07/29/2018;1,223.20;1,231.10;1,237.80;1,212.50;1.21M;0.02%
8/5/2018;1,219.00;1,222.00;1,226.00;1,213.10;1.23M;-0.34%
8/12/2018;1,184.20;1,218.40;1,221.40;1,167.10;1.61M;-2.85%
08/19/2018;1,213.30;1,190.40;1,215.40;1,189.50;1.19M;2.46%
08/26/2018;1,206.70;1,214.50;1,220.70;1,202.10;1.28M;-0.54%
9/2/2018;1,200.40;1,207.00;1,212.70;1,195.10;1.20M;-0.52%
9/9/2018;1,201.10;1,200.70;1,218.00;1,192.70;1.37M;0.06%
09/16/2018;1,201.30;1,199.80;1,215.80;1,196.00;1.26M;0.02%
09/23/2018;1,196.20;1,204.00;1,208.80;1,184.30;1.41M;-0.42%
09/30/2018;1,205.60;1,196.10;1,212.30;1,188.10;1.39M;0.79%
10/7/2018;1,222.00;1,206.70;1,230.00;1,186.00;1.66M;1.36%
10/14/2018;1,228.70;1,221.20;1,236.90;1,220.40;1.20M;0.55%
10/21/2018;1,235.80;1,230.50;1,246.00;1,222.80;1.26M;0.58%
10/28/2018;1,233.30;1,236.40;1,239.30;1,213.40;1.28M;-0.20%
11/4/2018;1,208.60;1,234.50;1,238.40;1,207.20;1.18M;-2.00%
11/11/2018;1,223.00;1,210.30;1,226.00;1,196.60;1.23M;1.19%
11/18/2018;1,223.20;1,222.60;1,230.90;1,218.50;921.15K;0.02%
11/25/2018;1,226.00;1,223.90;1,234.90;1,210.50;1.24M;0.23%
12/2/2018;1,252.60;1,227.80;1,255.80;1,226.60;1.05M;2.17%
12/9/2018;1,241.40;1,255.60;1,256.60;1,236.50;896.70K;-0.89%
12/16/2018;1,258.10;1,242.80;1,270.30;1,239.40;1.14M;1.35%
12/23/2018;1,283.00;1,260.70;1,284.70;1,260.00;722.01K;1.98%
12/30/2018;1,285.80;1,283.00;1,300.40;1,278.10;909.20K;0.22%
1/6/2019;1,289.50;1,287.00;1,298.00;1,280.20;1.12M;0.29%
01/13/2019;1,282.60;1,288.00;1,296.60;1,280.10;1.06M;-0.54%
01/20/2019;1,298.10;1,280.70;1,303.40;1,275.30;1.07M;1.21%
01/27/2019;1,322.10;1,302.30;1,331.10;1,296.50;1.15M;1.85%
2/3/2019;1,318.50;1,322.60;1,323.60;1,306.40;728.26K;-0.27%
2/10/2019;1,322.10;1,318.10;1,325.80;1,304.70;939.76K;0.27%
02/17/2019;1,332.80;1,325.00;1,349.80;1,323.30;1.12M;0.81%
02/24/2019;1,299.20;1,331.90;1,334.90;1,291.30;1.16M;-2.52%
3/3/2019;1,299.30;1,294.40;1,301.30;1,280.80;1.22M;0.01%
3/10/2019;1,302.90;1,298.20;1,311.60;1,290.60;1.10M;0.28%
03/17/2019;1,312.30;1,302.00;1,320.20;1,298.00;1.36M;0.72%
03/24/2019;1,304.50;1,319.70;1,330.80;1,297.60;418.65K;-0.59%
03/31/2019;1,301.70;1,302.90;1,307.50;1,290.90;25.01K;-0.21%
4/7/2019;1,301.20;1,302.50;1,320.70;1,299.00;20.15K;-0.04%
04/14/2019;1,282.00;1,300.50;1,301.00;1,278.90;18.48K;-1.48%
04/21/2019;1,294.80;1,283.90;1,296.80;1,274.00;36.39K;1.00%
04/28/2019;1,287.20;1,294.70;1,295.40;1,273.20;54.78K;-0.59%
5/5/2019;1,293.30;1,287.10;1,298.70;1,284.10;128.78K;0.47%
5/12/2019;1,281.40;1,293.70;1,310.10;1,280.40;118.34K;-0.92%
05/19/2019;1,289.20;1,282.30;1,292.50;1,274.60;268.28K;0.61%
05/26/2019;1,316.90;1,289.20;1,317.50;1,280.80;414.98K;2.15%
6/2/2019;1,351.80;1,317.40;1,357.40;1,317.40;7.93K;2.65%
6/9/2019;1,350.40;1,347.90;1,367.80;1,329.60;8.21K;-0.10%
06/16/2019;1,405.90;1,350.40;1,420.90;1,342.80;8.77K;4.11%
06/23/2019;1,419.60;1,411.90;1,447.00;1,407.50;14.00K;0.97%
06/30/2019;1,406.30;1,411.00;1,446.80;1,390.90;19.34K;-0.94%
7/7/2019;1,418.50;1,407.20;1,435.60;1,394.00;17.33K;0.87%
07/14/2019;1,433.20;1,424.00;1,460.30;1,407.80;31.58K;1.04%
07/21/2019;1,425.90;1,434.90;1,440.60;1,417.70;42.65K;-0.51%
07/28/2019;1,457.50;1,425.80;1,461.90;1,412.10;1.77M;2.22%
8/4/2019;1,508.50;1,451.20;1,522.70;1,448.80;2.30M;3.50%
8/11/2019;1,523.60;1,509.20;1,546.10;1,488.90;2.21M;1.00%
08/18/2019;1,537.60;1,523.00;1,540.30;1,502.10;1.54M;0.92%
08/25/2019;1,529.40;1,545.40;1,565.00;1,525.60;1.90M;-0.53%
9/1/2019;1,515.50;1,535.20;1,566.20;1,510.70;2.12M;-0.91%
9/8/2019;1,499.50;1,516.40;1,532.20;1,492.10;1.88M;-1.06%
09/15/2019;1,515.10;1,513.10;1,524.50;1,490.70;1.63M;1.04%
09/22/2019;1,513.10;1,521.50;1,543.30;1,500.50;1.66M;-0.13%
09/29/2019;1,519.70;1,509.50;1,532.40;1,471.80;48.83K;0.44%
10/6/2019;1,495.50;1,524.20;1,529.00;1,484.90;30.11K;-1.59%
10/13/2019;1,501.00;1,499.20;1,509.20;1,487.40;34.27K;0.37%
10/20/2019;1,512.30;1,502.00;1,527.80;1,491.00;30.12K;0.75%
10/27/2019;1,518.50;1,514.00;1,525.20;1,490.30;103.18K;0.41%
11/3/2019;1,469.80;1,522.90;1,524.00;1,463.40;392.00K;-3.21%
